Timestamp,Birth Year,Gender,Current Brand,Ownership Duration,Top Priorities,Information Source,Purchase Preference,Previous Brand,Loyalty (1-5),Other Devices?,AI Features (1-5),Foldable Interest,Max Budget,After-Sales (1-5)
01/01/2026 08:15:22,2004,Female,Redmi,2 years,"Camera, Battery, Affordability",Friend/Family,One-time full payment,Vivo,2,No,4,Maybe,around 15 lakhs,4
01/01/2026 09:32:45,2003,Female,Samsung,3 months,Camera,Friend/Family,One-time full payment,Samsung,4,No,5,Yes,above 20 lakhs,5
01/01/2026 10:47:12,2005,Female,Redmi,3 months,"Battery, Gaming, Affordability",Friend/Family,One-time full payment,Samsung,5,No,3,No,around 10 lakhs,3
01/01/2026 11:23:54,2005,Female,Samsung,4 years,"Camera, Battery, Affordability",Social Media Ads,One-time full payment,Redmi,4,Yes,4,Maybe,around 10 lakhs,5
01/01/2026 12:08:33,2004,Female,Samsung,2 years,"Camera, Battery, Affordability",In-store demos,One-time full payment,Xiaomi,4,No,3,Yes,around 15 lakhs,4
01/01/2026 13:44:21,2004,Male,Redmi,5 years,"Battery, Affordability, SOC",Tech Youtuber,One-time full payment,Samsung,5,No,5,No,around 15 lakhs,5
01/01/2026 14:57:18,2004,Male,Apple,3 years,"Camera, Brand Image, Affordability",Own research,One-time full payment,Xiaomi,4,Yes,4,Maybe,around 20 lakhs,5
01/01/2026 15:37:19,2007,Male,Techno,2 years,Battery,Friend/Family,One-time full payment,Oppo,3,No,5,Maybe,around 20 lakhs,5
01/01/2026 16:52:44,2004,Female,Redmi,5 months,"Camera, Battery, Gaming",Tiktok Comparisons,Monthly installments,Redmi,3,No,3,Maybe,around 6 lakhs,5
01/01/2026 17:18:27,2005,Female,Samsung,4 months,"Camera, Battery",In-store demos,One-time full payment,Apple,5,No,5,Maybe,above 20 lakhs,5
02/01/2026 08:01:15,2004,Female,Apple,1 year,Camera,Tiktok Comparisons,One-time full payment,Redmi,5,Yes,4,No,above 20 lakhs,5
02/01/2026 09:23:48,2004,Female,Redmi,4 years,"Camera, Battery, Gaming",Tech Youtuber,One-time full payment,Xiaomi,4,No,3,Maybe,around 15 lakhs,4
02/01/2026 10:45:33,2007,Male,Redmi,3 years,Gaming,Tech Youtuber,One-time full payment,Redmi,4,No,1,No,around 10 lakhs,2
02/01/2026 11:56:22,2006,Female,Apple,3 months,"Camera, Battery",Friend/Family,One-time full payment,Redmi,5,Yes,2,Maybe,above 20 lakhs,5
02/01/2026 12:34:17,1976,Female,Redmi,2 months,"Camera, Brand Image, Affordability",Friend/Family,One-time full payment,Vivo,4,No,3,Maybe,around 8 lakhs,3
02/01/2026 13:52:09,2003,Female,Redmi,5 years,Camera,Tech Youtuber,One-time full payment,Redmi,2,No,4,Maybe,around 15 lakhs,5
02/01/2026 14:17:56,2000,Male,Infinix,1 year,"Camera, Affordability",Tech Youtuber,One-time full payment,Redmi,1,No,1,Maybe,Affordable,1
02/01/2026 15:39:44,2005,Male,Samsung,3 years,Brand Image,In-store demos,One-time full payment,Huawei,4,No,3,No,around 10 lakhs,4
02/01/2026 16:08:31,2002,Female,Xiaomi,25 days,"Camera, Battery, Brand, Affordability, CPU",Tech Youtuber,One-time full payment,Redmi,4,No,4,No,around 20 lakhs,5
02/01/2026 17:27:18,2003,Male,Apple,1 year,Camera,Tiktok Comparisons,One-time full payment,Xiaomi,4,Yes,3,No,above 20 lakhs,5
03/01/2026 07:45:22,2004,Male,Honor,3 years,"Camera, Battery",Social Media Ads,One-time full payment,Realmi,4,No,4,Yes,around 15 lakhs,3
03/01/2026 08:56:44,2005,Male,Redmi,1 month,"Gaming, SOC",Tech Youtuber,One-time full payment,Redmi,5,No,4,No,around 10 lakhs,3
03/01/2026 09:22:17,2004,Male,Apple,4 years,"Gaming, Affordability",Friend/Family,One-time full payment,Vivo,4,No,4,Maybe,around 15 lakhs,5
03/01/2026 10:48:33,2004,Male,Apple,4 years,SOC,Tech Youtuber,One-time full payment,Samsung,2,Yes,1,No,above 20 lakhs,5
03/01/2026 11:33:29,2006,Female,Redmi,4 months,"Camera, Battery, Affordability, SOC",Tiktok Comparisons,One-time full payment,Techno,4,No,4,Yes,around 10 lakhs,5
03/01/2026 12:15:48,2005,Female,Xiaomi,4 months,Camera,Tech Youtuber,One-time full payment,Techno,3,No,3,Maybe,around 10 lakhs,5
03/01/2026 13:27:16,2004,Female,Redmi,4 years,"Camera, Battery, Gaming",Tech Youtuber,One-time full payment,Redmi,4,No,3,Maybe,around 15 lakhs,4
03/01/2026 14:52:03,2003,Male,Realmi,3 years,"Camera, Battery, Gaming, Affordability",Tech Youtuber,One-time full payment,Xiaomi,3,No,3,Maybe,around 20 lakhs,4
03/01/2026 15:18:44,2007,Male,Redmi,1 month,"Battery, Gaming, SOC",Tiktok Comparisons,One-time full payment,Redmi,5,No,2,No,around 20 lakhs,5
04/01/2026 08:22:37,2004,Female,Redmi,5 years,Brand Image,In-store demos,One-time full payment,Redmi,4,No,4,No,around 15 lakhs,5
04/01/2026 09:44:15,2004,Male,Redmi,4 months,"Camera, SOC",Tech Youtuber,One-time full payment,Vivo,1,Yes,4,Maybe,around 15 lakhs,4
04/01/2026 10:12:58,2004,Female,Apple,3 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,3,Maybe,above 20 lakhs,3
04/01/2026 11:36:22,2005,Male,Apple,9 months,Camera,Tiktok Comparisons,One-time full payment,Samsung,4,No,4,No,above 20 lakhs,5
04/01/2026 12:58:19,2006,Male,Apple,1.5 years,"Camera, Battery, Brand Image, Affordability",Tiktok Comparisons,One-time full payment,Vivo,5,No,5,No,above 20 lakhs,5
04/01/2026 13:27:41,2004,Female,Apple,2 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,4,Yes,around 20 lakhs,5
04/01/2026 14:55:33,1987,Female,Vivo,2 years,"Camera, Battery",Friend/Family,One-time full payment,Vivo,4,No,2,Maybe,around 15 lakhs,5
04/01/2026 15:33:27,1991,Female,Xiaomi,4 years,"Battery, Affordability",In-store demos,One-time full payment,Apple,3,No,3,No,around 10 lakhs,4
04/01/2026 16:44:18,1972,Female,Infinix,3 years,Affordability,In-store demos,Second-hand,Redmi,3,No,3,Yes,around 8 lakhs,3
04/01/2026 17:11:24,1981,Male,Xiaomi,5 years,"Battery, Affordability",Friend/Family,One-time full payment,Vivo,4,No,4,No,around 8 lakhs,4
05/01/2026 07:28:15,2000,Female,Xiaomi,4 years,"Camera, Battery, Affordability",Friend/Family,One-time full payment,Samsung,3,No,1,Maybe,around 6 lakhs,1
05/01/2026 08:45:33,2004,Female,Apple,2 years,"Camera, Battery",Tiktok Comparisons,One-time full payment,Redmi,4,No,4,No,above 20 lakhs,4
05/01/2026 09:22:48,2004,Female,Samsung,3 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,4,No,4,No,around 20 lakhs,5
05/01/2026 10:34:27,2003,Female,Honor,1 year,"Camera, Battery, Brand Image, Affordability",Tech Youtuber,One-time full payment,Redmi,3,Yes,4,Yes,around 20 lakhs,5
05/01/2026 11:17:52,2003,Female,Infinix,2.5 years,Affordability,Friend/Family,One-time full payment,Redmi,1,No,3,No,around 10 lakhs,4
05/01/2026 12:44:19,2003,Female,Infinix,1 year,"Camera, Battery",In-store demos,One-time full payment,Redmi,2,No,4,No,around 20 lakhs,4
05/01/2026 13:56:38,2003,Female,Samsung,3 years,"Camera, Battery",Friend/Family,One-time full payment,Samsung,4,No,4,No,around 15 lakhs,5
05/01/2026 14:33:21,2004,Male,Oppo,2 months,"Camera, Battery, SOC",Tech Youtuber,Second-hand,Samsung,2,Yes,3,No,above 20 lakhs,3
05/01/2026 15:48:14,2003,Female,Oppo,1 month,"Camera, Battery",In-store demos,One-time full payment,Redmi,4,Yes,4,No,around 20 lakhs,4
06/01/2026 08:12:37,2003,Male,Redmi,1 year,"Battery, Gaming, Affordability, SOC",Friend/Family,One-time full payment,Samsung,5,No,1,No,around 10 lakhs,4
06/01/2026 09:27:48,2004,Female,Apple,3 years,"Camera, Brand Image, Affordability",Friend/Family,One-time full payment,Samsung,5,Yes,4,No,above 20 lakhs,3
06/01/2026 10:44:22,2004,Female,Apple,3 years,"Camera, Brand Image, SOC",Social Media Ads,One-time full payment,Apple,5,Yes,2,No,above 20 lakhs,3
06/01/2026 11:33:56,2004,Female,Samsung,7 years,"Gaming, Affordability",Friend/Family,One-time full payment,Samsung,3,No,3,No,around 15 lakhs,5
06/01/2026 12:28:44,2005,Female,Samsung,5 years,"Battery, Brand Image, Affordability",Social Media Ads,One-time full payment,Xiaomi,2,No,4,Maybe,around 20 lakhs,5
06/01/2026 13:56:17,2003,Female,Samsung,4 years,Camera,Tiktok Comparisons,One-time full payment,Samsung,4,Yes,4,Yes,around 15 lakhs,5
06/01/2026 14:22:39,2005,Female,Redmi,3 months,"Camera, Battery, Gaming, SOC",Tech Youtuber,One-time full payment,Redmi,4,No,3,No,around 10 lakhs,3
06/01/2026 15:44:28,2005,Female,Apple,3 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Apple,4,Yes,3,No,above 20 lakhs,3
07/01/2026 07:22:14,2002,Female,Apple,2 years,"Battery, Brand Image",In-store demos,One-time full payment,Huawei,3,No,3,Yes,above 20 lakhs,5
07/01/2026 08:33:47,2007,Female,Xiaomi,3 months,Camera,Social Media Ads,Monthly installments,Samsung,4,Yes,3,No,around 15 lakhs,3
07/01/2026 09:48:22,2002,Female,Apple,2 years,"Battery, Brand Image",In-store demos,One-time full payment,Huawei,3,No,3,Yes,above 20 lakhs,5
07/01/2026 10:27:36,2004,Female,Vivo,4 years,"Camera, Gaming",In-store demos,One-time full payment,Redmi,1,No,5,No,above 20 lakhs,2
07/01/2026 11:44:18,2004,Female,Redmi,9 months,"Camera, Battery, Affordability",Friend/Family,One-time full payment,Redmi,2,No,1,No,around 8 lakhs,5
