Timestamp,Birth Year,Gender,Current Brand,Ownership Duration,Top Priorities,Information Source,Purchase Preference,Previous Brand,Loyalty (1-5),Other Devices?,AI Features (1-5),Foldable Interest,Max Budget,After-Sales (1-5),Birth_Year_Cleaned,Age,Age_Binned,Max_Budget_Lakhs,Ownership_Duration_Months,Ownership_Binned,Gender_Encoded,Other_Devices_Encoded,Foldable_Interest_Encoded,Switched,Priority_List,Priority_Merged,Priority_Count,Cluster,Predicted_Switch,Switch_Probability,Risk_Level
21/01/2026 13:44:22,2005,Female,Apple,2 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,4,2005,21,21-22,22.0,24.0,13-24,1,1.0,0,1,"['Camera', 'Battery', 'Brand Image']","['Camera', 'Battery', 'Brand']",3,1,1,0.9999522699018567,High
23/01/2026 09:56:22,2005,Female,Apple,2 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,4,2005,21,21-22,22.0,24.0,13-24,1,1.0,0,1,"['Camera', 'Brand Image']","['Camera', 'Brand']",2,1,1,0.9999522699018567,High
19/01/2026 10:33:17,2006,Female,Apple,1.5 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,4,2006,20,18-20,22.0,18.0,13-24,1,1.0,0,1,"['Camera', 'Battery', 'Brand Image']","['Camera', 'Battery', 'Brand']",3,1,1,0.9999450931171202,High
14/01/2026 10:18:55,2005,Male,Samsung,2 years,"Gaming, SOC",Tech Youtuber,One-time full payment,Huawei,4,No,4,No,around 20 lakhs,4,2005,21,21-22,20.0,24.0,13-24,0,0.0,0,1,"['Gaming', 'SOC']","['Gaming', 'SOC']",2,0,1,0.9999165148950072,High
18/01/2026 12:44:33,2004,Male,Samsung,1 year,"Camera, Battery, SOC",Tech Youtuber,One-time full payment,Vivo,3,No,4,No,around 20 lakhs,4,2004,22,21-22,20.0,12.0,7-12,0,0.0,0,1,"['Camera', 'Battery', 'SOC']","['Camera', 'Battery', 'SOC']",3,2,1,0.9999062605056266,High
03/01/2026 14:52:03,2003,Male,Realmi,3 years,"Camera, Battery, Gaming, Affordability",Tech Youtuber,One-time full payment,Xiaomi,3,No,3,Maybe,around 20 lakhs,4,2003,23,23-24,20.0,36.0,25-36,0,0.0,1,1,"['Camera', 'Battery', 'Gaming', 'Affordability']","['Camera', 'Battery', 'Gaming', 'Affordability']",4,0,1,0.9998966345257421,High
28/01/2026 07:33:44,2003,Male,Realmi,3 years,"Camera, Battery, Gaming, Affordability",Tech Youtuber,One-time full payment,Xiaomi,3,No,3,Maybe,around 20 lakhs,4,2003,23,23-24,20.0,36.0,25-36,0,0.0,1,1,"['Camera', 'Battery', 'Gaming', 'Affordability']","['Camera', 'Battery', 'Gaming', 'Affordability']",4,0,1,0.9998966345257421,High
12/02/2026 07:33:44,2003,Male,Realmi,3 years,"Camera, Battery, Gaming, Affordability",Tech Youtuber,One-time full payment,Xiaomi,3,No,3,Maybe,around 20 lakhs,4,2003,23,23-24,20.0,36.0,25-36,0,0.0,1,1,"['Camera', 'Battery', 'Gaming', 'Affordability']","['Camera', 'Battery', 'Gaming', 'Affordability']",4,0,1,0.9998966345257421,High
27/02/2026 10:33:44,2003,Male,Realmi,3 years,"Camera, Battery, Gaming, Affordability",Tech Youtuber,One-time full payment,Xiaomi,3,No,3,Maybe,around 20 lakhs,4,2003,23,23-24,20.0,36.0,25-36,0,0.0,1,1,"['Camera', 'Battery', 'Gaming', 'Affordability']","['Camera', 'Battery', 'Gaming', 'Affordability']",4,0,1,0.9998966345257421,High
15/01/2026 13:22:45,2005,Female,Apple,9 months,"Camera, Battery, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,4,2005,21,21-22,22.0,9.0,7-12,1,1.0,0,1,"['Camera', 'Battery', 'Brand Image']","['Camera', 'Battery', 'Brand']",3,1,1,0.9998508853934682,High
